epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.078,3.52009,4.93677,4.18399,0.00116,0.211,0.00143,0.00054,3.28837,5.16956,4.12706,0.000363836,0.000363836,0.000363836
2,264.731,3.52191,4.72666,4.08049,0.00208,0.16286,0.00219,0.00048,3.32155,4.90594,3.75084,0.000719633,0.000719633,0.000719633
3,413.696,3.48773,4.53456,3.82308,0.75527,0.00342,0.00064,0.0002,3.45537,10.3895,4.14,0.00106076,0.00106076,0.00106076
